Node Number	Directional Heat Flux (W/m²)
6043	-3.6866e-007
6044	-4.0047e-007
6045	-9.6603e-007
6046	-4.365e-007
6047	-8.2126e-007
6048	-5.3028e-007
6049	-5.4019e-007
6050	-4.5103e-007
6051	-2.8182e-007
6052	-3.0051e-007
6053	-8.2727e-007
6054	-1.7875e-007
6055	-6.2409e-007
6056	-6.7502e-007
6057	-6.7676e-007
6058	2.1111e-007
6059	7.1517e-007
6060	7.9761e-007
6061	8.398e-007
6062	6.9735e-007
6063	2.3549e-007
6064	6.5637e-007
6065	7.776e-007
6066	7.9728e-007
6067	6.3072e-007
6068	7.6426e-007
6069	6.2516e-007
6070	-1.5132e-007
6071	3.9882e-007
6072	3.2776e-007
6073	2.2422e-007
6074	1.9116e-007
6075	5.9673e-007
6076	8.19e-007
6077	-6.2361e-008
6078	3.1854e-007
6079	3.7024e-007
6080	2.0349e-007
6081	1.8641e-007
6082	-1.624e-007
6083	-4.6771e-007
6084	-3.8528e-007
6085	-4.5941e-007
6086	-4.8086e-007
6087	-4.8553e-007
6088	8.787e-007
6089	-1.6231e-007
6090	-1.9475e-007
6091	5.1326e-007
6092	3.4166e-007
6093	3.3867e-007
6094	3.2851e-007
6095	9.7134e-007
6096	2.0182e-007
6097	6.943e-008
6098	7.45e-007
6099	5.704e-007
6100	9.3045e-007
6101	6.0919e-008
6102	6.2722e-008
6103	5.3484e-007
6104	4.3131e-007
6105	4.2337e-007
6106	9.1123e-007
6107	1.7866e-007
6108	1.5912e-007
6109	6.3304e-007
6110	5.2157e-007
6111	1.0161e-006
6112	5.8863e-008
6113	6.1242e-008
6114	5.1562e-007
6115	4.0057e-007
6116	4.0415e-007
6117	9.5006e-007
6118	2.8113e-007
6119	7.896e-007
6120	6.2285e-007
6121	-5.9855e-008
6122	-1.5356e-007
6123	-7.1569e-009
6124	5.0131e-007
6125	3.6102e-007
6126	3.3456e-007
6127	3.1851e-007
6128	-3.6061e-007
6129	-2.3938e-007
6130	-3.5219e-007
6131	-4.0312e-007
6132	-3.8626e-007
6133	-1.6644e-006
6134	-1.9123e-006
6135	-2.9769e-006
6136	-4.557e-006
6137	-2.8954e-006
6138	-3.7089e-006
6139	-2.0347e-006
6140	-2.3548e-006
6141	1.5275e-006
6142	9.7052e-007
6143	7.7122e-007
6144	1.9334e-006
6145	-2.0174e-007
6146	4.1971e-007
6147	1.1374e-006
6148	-8.1472e-007
6149	-2.2485e-006
6150	-1.3218e-006
6151	-7.2625e-007
6152	-1.1295e-006
6153	-1.1266e-006
6154	-7.9161e-007
6155	-1.0498e-006
6156	-7.6185e-007
6157	-5.6947e-007
6158	-1.1175e-006
6159	-1.1412e-006
6160	-9.2568e-007
6161	-1.0895e-006
6162	-6.5811e-007
6163	-6.0407e-007
6164	-5.98e-007
6165	-6.3566e-007
6166	-7.7723e-007
6167	-8.125e-007
6168	-3.7126e-007
6169	-4.4358e-007
6170	-5.24e-007
6171	-3.2937e-007
6172	-2.6943e-007
6173	-2.7533e-007
6174	-2.6364e-007
6175	-3.0693e-007
6176	4.0381e-006
6177	3.7996e-006
6178	6.5645e-006
6179	5.9776e-006
6180	2.807e-006
6181	1.9936e-006
6182	3.6678e-006
6183	3.3476e-006
6184	-2.9752e-007
6185	-1.111e-006
6186	5.6325e-007
6187	2.4312e-007
6188	-1.3994e-007
6189	-8.0607e-007
6190	-1.0908e-006
6191	-1.4191e-006
6192	-8.9619e-007
6193	-1.8692e-006
6194	-1.2477e-006
6195	-7.0544e-007
6196	-7.3554e-007
6197	-5.3002e-007
6198	9.3884e-007
6199	5.968e-007
6200	2.2723e-006
6201	6.3116e-007
6202	5.5074e-007
6203	8.111e-007
6204	7.6781e-007
6205	1.7832e-006
6206	1.8168e-006
6207	3.1167e-006
6208	5.8343e-006
6209	1.3222e-006
6210	1.1583e-006
6211	1.7031e-006
6212	1.4706e-006
6213	1.6899e-006
6214	5.7074e-006
6215	2.8664e-006
6216	1.1958e-006
6217	1.1987e-006
6218	1.5762e-006
6219	1.2755e-006
6220	1.5827e-006
6221	-5.4485e-008
6222	1.6306e-006
6223	-5.0457e-007
6224	4.9902e-007
6225	6.5914e-007
6226	8.3456e-007
6227	3.4994e-006
6228	3.9157e-006
6229	6.9149e-006
6230	5.9771e-006
6231	3.4812e-006
6232	3.5842e-006
6233	3.5925e-006
6234	-1.2906e-006
6235	3.5431e-006
6236	-1.3638e-006
6237	-1.7636e-006
6238	-1.691e-006
6239	-1.4775e-006
6240	-1.3587e-006
6241	-1.6866e-007
6242	-1.0183e-006
6243	2.5734e-006
6244	3.9095e-006
6245	4.8203e-006
6246	1.787e-006
6247	1.7009e-006
6248	2.0846e-006
6249	2.1262e-006
6250	1.8775e-006
6251	2.0539e-006
6252	4.3008e-006
6253	3.213e-006
6254	1.2561e-006
6255	1.3643e-006
6256	1.5651e-006
6257	1.6434e-006
6258	8.4687e-007
6259	2.1824e-006
6260	7.1293e-007
6261	5.1753e-007
6262	6.5251e-007
6263	7.3565e-007
6264	6.6448e-007
6265	-2.0625e-006
6266	-1.9789e-006
6267	-4.0314e-006
6268	-2.0807e-006
6269	-4.9799e-006
6270	-1.9777e-006
6271	-1.9694e-006
6272	3.1671e-006
6273	-5.9905e-007
6274	-2.6655e-007
6275	-3.1658e-006
6276	-1.5525e-007
6277	-1.7376e-006
6278	4.8142e-006
6279	-2.2228e-007
6280	-2.0645e-007
6281	2.8428e-006
6282	-8.7616e-008
6283	1.1024e-006
6284	2.5277e-007
6285	-5.2052e-007
6286	-1.0541e-006
6287	-6.2114e-007
6288	-4.8616e-007
6289	-4.1017e-007
6290	-4.0483e-007
6291	-4.0302e-007
6292	-6.2606e-007
6293	-1.263e-006
6294	-1.1475e-006
6295	-1.122e-006
6296	-1.0139e-006
6297	-6.19e-007
