Node Number	Total Deformation (m)
6071	2.1473e-008
6072	2.133e-008
6073	2.1621e-008
6074	2.1603e-008
6075	2.169e-008
6076	2.1895e-008
6077	2.1616e-008
6078	2.1521e-008
6079	2.1989e-008
6080	2.2007e-008
6081	2.1903e-008
6082	2.2002e-008
6083	2.2075e-008
6084	2.2371e-008
6085	2.2524e-008
6086	2.2278e-008
6087	2.2208e-008
6088	2.1568e-008
6089	2.1557e-008
6090	2.1763e-008
6091	2.1748e-008
6092	2.1868e-008
6093	2.1822e-008
6094	2.2041e-008
6095	2.1304e-008
6096	2.1281e-008
6097	2.1394e-008
6098	2.1572e-008
6099	2.1647e-008
6100	2.1251e-008
6101	2.1225e-008
6102	2.1224e-008
6103	2.1347e-008
6104	2.1566e-008
6105	2.1537e-008
6106	2.1419e-008
6107	2.14e-008
6108	2.1285e-008
6109	2.1396e-008
6110	2.1567e-008
6111	2.1778e-008
6112	2.1774e-008
6113	2.1566e-008
6114	2.1507e-008
6115	2.1932e-008
6116	2.17e-008
6117	2.2264e-008
6118	2.2016e-008
6119	2.2166e-008
6120	2.2147e-008
6121	2.275e-008
6122	2.2559e-008
6123	2.2281e-008
6124	2.2421e-008
6125	2.257e-008
6126	2.2407e-008
6127	2.2752e-008
6128	2.2782e-008
6129	2.3069e-008
6130	2.3082e-008
6131	2.2973e-008
6132	2.2817e-008
6133	2.2114e-008
6134	2.2053e-008
6135	2.1906e-008
6136	2.2309e-008
6137	2.218e-008
6138	2.2007e-008
6139	2.2166e-008
6140	2.1886e-008
6141	1.7207e-008
6142	1.7224e-008
6143	1.7074e-008
6144	1.7186e-008
6145	1.7216e-008
6146	1.7204e-008
6147	1.7208e-008
6148	2.032e-008
6149	2.0937e-008
6150	2.0099e-008
6151	2.086e-008
6152	2.0322e-008
6153	2.0739e-008
6154	2.0456e-008
6155	2.0502e-008
6156	2.0819e-008
6157	1.8659e-008
6158	1.9204e-008
6159	1.8506e-008
6160	1.8687e-008
6161	1.9037e-008
6162	1.8028e-008
6163	1.8577e-008
6164	1.8854e-008
6165	1.8594e-008
6166	1.8967e-008
6167	1.7964e-008
6168	1.7532e-008
6169	1.7642e-008
6170	1.7859e-008
6171	1.75e-008
6172	1.7106e-008
6173	1.8033e-008
6174	1.7752e-008
6175	1.8056e-008
6176	2.2118e-008
6177	2.1967e-008
6178	2.1912e-008
6179	2.2306e-008
6180	2.2183e-008
6181	2.2007e-008
6182	2.2168e-008
6183	2.1888e-008
6184	2.2184e-008
6185	2.2009e-008
6186	2.2172e-008
6187	2.1892e-008
6188	1.7275e-008
6189	1.7665e-008
6190	1.7325e-008
6191	1.7278e-008
6192	1.7118e-008
6193	1.7281e-008
6194	1.7251e-008
6195	1.7242e-008
6196	1.7372e-008
6197	1.726e-008
6198	1.8249e-008
6199	1.7619e-008
6200	1.8047e-008
6201	1.7698e-008
6202	1.7913e-008
6203	1.7794e-008
6204	1.8096e-008
6205	1.8815e-008
6206	1.9511e-008
6207	1.8613e-008
6208	1.9301e-008
6209	1.8764e-008
6210	1.9113e-008
6211	1.9386e-008
6212	1.9038e-008
6213	2.028e-008
6214	2.0072e-008
6215	2.089e-008
6216	2.0269e-008
6217	2.0685e-008
6218	2.0154e-008
6219	2.0454e-008
6220	2.0601e-008
6221	1.7255e-008
6222	1.7203e-008
6223	1.7251e-008
6224	1.7214e-008
6225	1.7217e-008
6226	1.7228e-008
6227	2.031e-008
6228	2.0149e-008
6229	2.0084e-008
6230	2.0513e-008
6231	2.0397e-008
6232	2.0434e-008
6233	2.0232e-008
6234	1.4945e-008
6235	1.495e-008
6236	1.54e-008
6237	1.5e-008
6238	1.4952e-008
6239	1.4999e-008
6240	1.4961e-008
6241	1.4951e-008
6242	1.4989e-008
6243	1.8295e-008
6244	1.8875e-008
6245	1.8054e-008
6246	1.8732e-008
6247	1.8268e-008
6248	1.8113e-008
6249	1.8514e-008
6250	1.6645e-008
6251	1.744e-008
6252	1.7197e-008
6253	1.6427e-008
6254	1.6986e-008
6255	1.6596e-008
6256	1.726e-008
6257	1.6959e-008
6258	1.6018e-008
6259	1.5795e-008
6260	1.5317e-008
6261	1.5646e-008
6262	1.5404e-008
6263	1.5776e-008
